,name,date,headline,intro
3242,ntv,05/06/2021,G7;einig;sich;auf;Digitalsteuer,Großkonzerne;wie;Apple;und;Google;versteuern;mein;Gewinn;nicht;dort;wo;ich;mein;Umsatz;erzielen;sondern;dort;wo;ich;möglichst;viel;davon;behalten;dürfen;der;wollen;der;G7;ein;Riegel;vorschieben;einen;Modell;dafür;stehen;bis;zur;endgültig;Umsetzung;sein;aber;noch;Überzeugungsarbeit;notwendig
3243,ntv,05/06/2021,Jobbericht;machen;Mut;an;der;Wall;Street,der;Angst;der;Anleger;vor;anziehend;Zins;werden;durch;der;Arbeitsmarktbericht;für;Mai;lindern;während;der;Dollar;sinken;ziehen;Gold;an;und;stellen;der;klar;Gewinner;an;der;Wall;Street
3244,sueddeutsche,05/06/2021,Nebenan;der;Rechte,mehrer;Jahr;langen;geben;ich;in;Sauerlach;einen;patriotische;Wohngemeinschaft;um;der;Rapper;Chris;Ares;der;vom;Verfassungsschutz;als;rechtsextrem;einstufen;werden;obwohl;Gesinnungsfreunde;einen;und;aus;gehen;stören;sich;kaum;jemand;daran;Wie;gehen;der;Ort;damit;um;Eine;Spurensuche
3245,sueddeutsche,05/06/2021,Diese;Biergärten;rund;um;München;lohnen;ein;Ausflug,der;Inzidenzen;sinken;und;auch;in;der;Region;sein;der;Regelung;für;Biergarten;Besuch;inzwischen;wieder;lockern;Elf;Tipps;fürs;Wochenend
3246,Welt,07/06/2021,Ursula;von;der;Leyen;in;der;Orbán;Falle,seit;Kurzem;haben;der;EU;einen;scharf;Waffe;gegen;Staat;wie;Ungarn;oder;Pol;der;gegen;Rechtsstaatlichkeit;verstoßen;Brüssel;zögern;aber;ich;anwenden;denn;Ursula;von;der;Leyen;und;Angela;Merkel;stehen;bei;Viktor;Orbán;im;Wort;Nun;soll;einen;Klage;Druck;machen
3247,Zeit,06/06/2021,Impfungen;durch;Betriebsärzte;Mehr;Impfwillige;mit;Prämie,ab;Montag;impfen;Betriebsärzte;mit;Konzern;sein;vorbereiten;doch;ich;fehlen;weit;an;Dose;ob;und;für;wer;Arbeitgeber;einen;Impfflicht;anordnen;dürfen;sein;unklar;ich;setzen;auf;Appell;und;womöglich;Prämie
3248,Welt,09/06/2021,Wenn;ich;streiken;dann;wissen;all;dass;der;Eisenbahnsystem;zum;Erliegen;kommen,-
3249,sueddeutsche,05/06/2021,ohne;Handy;und;Geld;durch;der;Welt,der;Wandergesellin;Marlene;sein;seit;Jahrzehnt;einen;der;erst;Metzgerinnen;der;wieder;auf;der;Walz;gehen;Auf;sich;dreijährigen;Reise;machen;ich;in;der;Herrmannsdorfer;Landwerkstätten;Station;Über;einen;Frau;der;für;mein;neu;Weg;der;Pandemie;trotzen
3250,ntv,05/06/2021,Facebook;verbannen;Trump;für;zwei;Jahr,Nach;der;Sturm;auf;der;US-amerikanischen;Kapitol;im;Januar;sperren;Facebook;der;Konto;von;Ex;Präsident;Trump;wegen;der;Sympathiebekundungen;Nun;legen;der;Online;Plattform;neue;Regel;für;Politiker;Posts;fest;Bei;schwerwiegend;Verstoß;drohen;einen;lang;Sperre;Trump;kritisieren;der;Entscheidung;scharf
3251,ntv,05/06/2021,Russland;öffnen;sich;für;Impftouristen,der;russische;Impfstoff;sein;in;der;EU;noch;nicht;zulassen;nur;Ungarn;und;der;Slowakei;bilden;einen;Ausnahme;Europäer;sollen;ab;Juli;dennoch;der;Möglichkeit;haben;sich;mit;Sputnik;V;impfen;zu;lassen;gegen;Gebühr
